year,county_district_code,enrollment_size,demographic_composition,student_teacher_ratio,graduation_rate,free_reduced_lunch_pct,act_score_avg
1991,96101,807,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 26.1, ""ENROLLMENT_HISPANIC_PCT"": 1.4, ""ENROLLMENT_WHITE_PCT"": 69.5, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",11,,0.0,
1991,96102,2163,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 20.7, ""ENROLLMENT_HISPANIC_PCT"": 0.7, ""ENROLLMENT_WHITE_PCT"": 73.1, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",13,,0.0,
1991,96103,1590,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 18.6, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 81.4, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1991,96104,2574,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 73.1, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 25.9, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",20,,0.0,
1991,96106,3014,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.2, ""ENROLLMENT_HISPANIC_PCT"": 0.7, ""ENROLLMENT_WHITE_PCT"": 70.0, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",14,,0.0,
1991,96107,1254,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 34.7, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 64.0, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",14,,0.0,
1991,96109,5914,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 93.8, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 5.8, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1991,96110,7110,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.3, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 72.9, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",20,,0.0,
1991,96111,4727,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 62.2, ""ENROLLMENT_HISPANIC_PCT"": 0.2, ""ENROLLMENT_WHITE_PCT"": 37.1, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1991,96112,4587,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 80.7, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 17.8, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",16,,0.0,
1991,96113,757,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.2, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 74.5, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",13,,0.0,
1991,96114,4106,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.2, ""ENROLLMENT_HISPANIC_PCT"": 0.1, ""ENROLLMENT_WHITE_PCT"": 74.0, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",17,,0.0,
1991,96119,5114,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 40.4, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 58.2, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",12,,0.0,
1991,115115,43284,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 77.6, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 20.9, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",13,,0.0,
1992,96088,17657,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 27.4, ""ENROLLMENT_HISPANIC_PCT"": 0.7, ""ENROLLMENT_WHITE_PCT"": 70.7, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1992,96089,10875,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 45.9, ""ENROLLMENT_HISPANIC_PCT"": 0.3, ""ENROLLMENT_WHITE_PCT"": 52.8, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",16,,0.0,
1992,96090,6831,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 21.9, ""ENROLLMENT_HISPANIC_PCT"": 0.2, ""ENROLLMENT_WHITE_PCT"": 77.5, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",16,,0.0,
1992,96091,17472,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 14.4, ""ENROLLMENT_HISPANIC_PCT"": 0.3, ""ENROLLMENT_WHITE_PCT"": 84.0, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",20,,0.0,
1992,96092,5263,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.5, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 73.2, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",17,,0.0,
1992,96093,5126,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 19.0, ""ENROLLMENT_HISPANIC_PCT"": 0.7, ""ENROLLMENT_WHITE_PCT"": 79.0, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1992,96094,11705,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 15.1, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 83.5, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",20,,0.0,
1992,96095,22780,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 19.4, ""ENROLLMENT_HISPANIC_PCT"": 0.7, ""ENROLLMENT_WHITE_PCT"": 75.2, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1992,96098,2469,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 16.5, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 82.3, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1992,96099,1290,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 14.9, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 84.3, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1992,96101,802,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.1, ""ENROLLMENT_HISPANIC_PCT"": 1.0, ""ENROLLMENT_WHITE_PCT"": 69.8, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",12,,0.0,
1992,96102,2237,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 22.1, ""ENROLLMENT_HISPANIC_PCT"": 0.8, ""ENROLLMENT_WHITE_PCT"": 71.3, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",13,,0.0,
1992,96103,1663,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 17.4, ""ENROLLMENT_HISPANIC_PCT"": 0.8, ""ENROLLMENT_WHITE_PCT"": 81.7, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",21,,0.0,
1992,96104,2581,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 74.9, ""ENROLLMENT_HISPANIC_PCT"": 0.3, ""ENROLLMENT_WHITE_PCT"": 23.5, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1992,96106,3087,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 24.4, ""ENROLLMENT_HISPANIC_PCT"": 0.8, ""ENROLLMENT_WHITE_PCT"": 70.8, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",14,,0.0,
1992,96107,1353,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 37.6, ""ENROLLMENT_HISPANIC_PCT"": 0.6, ""ENROLLMENT_WHITE_PCT"": 60.4, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",15,,0.0,
1992,96109,5759,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 95.0, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 4.7, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1992,96110,6749,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.5, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 72.4, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",20,,0.0,
1992,96111,4967,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 61.9, ""ENROLLMENT_HISPANIC_PCT"": 0.3, ""ENROLLMENT_WHITE_PCT"": 37.4, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1992,96112,4912,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 83.5, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 15.6, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",17,,0.0,
1992,96113,800,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 23.6, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 76.4, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",15,,0.0,
1992,96114,4459,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 23.6, ""ENROLLMENT_HISPANIC_PCT"": 0.3, ""ENROLLMENT_WHITE_PCT"": 75.4, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1992,96119,5308,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 45.7, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 53.0, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",12,,0.0,
1992,115115,40925,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 77.9, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 20.6, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",13,,0.0,
1993,96088,17792,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 28.6, ""ENROLLMENT_HISPANIC_PCT"": 0.6, ""ENROLLMENT_WHITE_PCT"": 69.7, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1993,96089,10984,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 46.5, ""ENROLLMENT_HISPANIC_PCT"": 0.3, ""ENROLLMENT_WHITE_PCT"": 52.6, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",16,,0.0,
1993,96090,6643,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 23.2, ""ENROLLMENT_HISPANIC_PCT"": 0.3, ""ENROLLMENT_WHITE_PCT"": 76.1, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",15,,0.0,
1993,96091,17449,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 15.8, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 82.3, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1993,96092,5122,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.1, ""ENROLLMENT_HISPANIC_PCT"": 0.6, ""ENROLLMENT_WHITE_PCT"": 73.3, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",17,,0.0,
1993,96093,5083,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 19.5, ""ENROLLMENT_HISPANIC_PCT"": 0.2, ""ENROLLMENT_WHITE_PCT"": 80.1, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",17,,0.0,
1993,96094,11891,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 15.1, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 83.6, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",20,,0.0,
1993,96095,22661,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 18.8, ""ENROLLMENT_HISPANIC_PCT"": 0.7, ""ENROLLMENT_WHITE_PCT"": 75.4, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1993,96098,2570,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 17.3, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 81.0, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1993,96099,1328,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 13.9, ""ENROLLMENT_HISPANIC_PCT"": 0.8, ""ENROLLMENT_WHITE_PCT"": 84.9, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1993,96101,845,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 27.1, ""ENROLLMENT_HISPANIC_PCT"": 0.6, ""ENROLLMENT_WHITE_PCT"": 68.4, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",13,,0.0,
1993,96102,2360,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 20.7, ""ENROLLMENT_HISPANIC_PCT"": 1.0, ""ENROLLMENT_WHITE_PCT"": 71.9, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",13,,0.0,
1993,96103,1655,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 16.0, ""ENROLLMENT_HISPANIC_PCT"": 0.7, ""ENROLLMENT_WHITE_PCT"": 83.3, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",22,,0.0,
1993,96104,2552,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 79.0, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 20.4, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1993,96106,3243,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.0, ""ENROLLMENT_HISPANIC_PCT"": 0.9, ""ENROLLMENT_WHITE_PCT"": 70.3, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",14,,0.0,
1993,96107,1269,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 36.6, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 61.8, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",15,,0.0,
1993,96109,5548,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 95.8, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 3.8, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1993,96110,6734,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.2, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 72.7, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",20,,0.0,
1993,96111,5197,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 64.2, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 35.3, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",21,,0.0,
1993,96112,4743,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 83.7, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 15.6, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",17,,0.0,
1993,96113,819,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.9, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 73.5, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",15,,0.0,
1993,96114,4424,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 24.5, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 74.3, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1993,96119,5987,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 48.9, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 49.8, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",13,,0.0,
1993,115115,40857,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 78.3, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 19.9, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",13,,0.0,
1994,96088,17911,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 30.4, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 68.2, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1994,96089,11034,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 47.7, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 51.2, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",16,,0.0,
1994,96090,6844,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 23.2, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 75.7, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",15,,0.0,
1994,96091,18358,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 15.6, ""ENROLLMENT_HISPANIC_PCT"": 0.4, ""ENROLLMENT_WHITE_PCT"": 82.5, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1994,96092,5327,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.1, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 73.7, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",17,,0.0,
1994,96093,5091,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 19.0, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 79.6, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",17,,0.0,
1994,96094,11937,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 14.0, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 84.5, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",20,,0.0,
1994,96095,22690,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 19.0, ""ENROLLMENT_HISPANIC_PCT"": 0.8, ""ENROLLMENT_WHITE_PCT"": 75.0, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1994,96098,2789,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 16.7, ""ENROLLMENT_HISPANIC_PCT"": 0.6, ""ENROLLMENT_WHITE_PCT"": 81.1, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",20,,0.0,
1994,96099,1342,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 14.0, ""ENROLLMENT_HISPANIC_PCT"": 0.8, ""ENROLLMENT_WHITE_PCT"": 84.1, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",18,,0.0,
1994,96101,837,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 26.2, ""ENROLLMENT_HISPANIC_PCT"": 0.0, ""ENROLLMENT_WHITE_PCT"": 69.7, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",13,,0.0,
1994,96102,2396,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 22.3, ""ENROLLMENT_HISPANIC_PCT"": 1.0, ""ENROLLMENT_WHITE_PCT"": 71.7, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",13,,0.0,
1994,96103,1614,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 18.3, ""ENROLLMENT_HISPANIC_PCT"": 0.7, ""ENROLLMENT_WHITE_PCT"": 80.7, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",20,,0.0,
1994,96104,2501,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 81.9, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 17.4, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",19,,0.0,
1994,96106,3348,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 25.3, ""ENROLLMENT_HISPANIC_PCT"": 1.2, ""ENROLLMENT_WHITE_PCT"": 70.2, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",15,,0.0,
1994,96107,1304,"{""ENROLLMENT_ASIAN_PCT"": 0.0, ""ENROLLMENT_BLACK_PCT"": 37.3, ""ENROLLMENT_HISPANIC_PCT"": 0.5, ""ENROLLMENT_WHITE_PCT"": 61.1, ""ENROLLMENT_MULTIRACIAL_PCT"": 0.0}",15,,0.0,
